URL,License,Title,Author(s),PDF
http://arxiv.org/abs/2202.03371v1,creativecommons.org/licenses/by-sa/4.0/,Cedille: A large autoregressive French language model,Martin Müller and Florian Laurent,http://arxiv.org/pdf/2202.03371v1
http://arxiv.org/abs/2303.00077v1,creativecommons.org/licenses/by-sa/4.0/,Beyond the limitations of any imaginable mechanism: large language models and psycholinguistics,Conor Houghton and Nina Kazanina and Priyanka Sukumaran,http://arxiv.org/pdf/2303.00077v1
http://arxiv.org/abs/2010.12858v2,creativecommons.org/licenses/by-sa/4.0/,When Being Unseen from mBERT is just the Beginning: Handling New Languages With Multilingual Language Models,Benjamin Muller and Antonis Anastasopoulos and Benoît Sagot and Djamé Seddah,http://arxiv.org/pdf/2010.12858v2
http://arxiv.org/abs/2303.01911v1,creativecommons.org/licenses/by-sa/4.0/,Investigating the Translation Performance of a Large Multilingual Language Model: the Case of BLOOM,Rachel Bawden and François Yvon,http://arxiv.org/pdf/2303.01911v1
http://arxiv.org/abs/2111.06053v1,creativecommons.org/licenses/by-sa/4.0/,Improving Large-scale Language Models and Resources for Filipino,Jan Christian Blaise Cruz and Charibeth Cheng,http://arxiv.org/pdf/2111.06053v1
http://arxiv.org/abs/2301.01162v1,creativecommons.org/licenses/by-sa/4.0/,Language Models are Drummers: Drum Composition with Natural Language Pre-Training,Li Zhang and Chris Callison-Burch,http://arxiv.org/pdf/2301.01162v1
http://arxiv.org/abs/2207.13988v2,creativecommons.org/licenses/by-sa/4.0/,Sequence to sequence pretraining for a less-resourced Slovenian language,Matej Ulčar and Marko Robnik-Šikonja,http://arxiv.org/pdf/2207.13988v2
http://arxiv.org/abs/2005.00318v1,creativecommons.org/licenses/by-sa/4.0/,Can Multilingual Language Models Transfer to an Unseen Dialect? A Case Study on North African Arabizi,Benjamin Muller and Benoit Sagot and Djamé Seddah,http://arxiv.org/pdf/2005.00318v1
http://arxiv.org/abs/2301.10472v1,creativecommons.org/licenses/by-sa/4.0/,XLM-V: Overcoming the Vocabulary Bottleneck in Multilingual Masked Language Models,Davis Liang and Hila Gonen and Yuning Mao and Rui Hou and Naman Goyal and Marjan Ghazvininejad and Luke Zettlemoyer and Madian Khabsa,http://arxiv.org/pdf/2301.10472v1
http://arxiv.org/abs/1810.11895v3,creativecommons.org/licenses/by-sa/4.0/,"Language Modeling for Code-Switching: Evaluation, Integration of Monolingual Data, and Discriminative Training",Hila Gonen and Yoav Goldberg,http://arxiv.org/pdf/1810.11895v3
http://arxiv.org/abs/2110.10319v1,creativecommons.org/licenses/by-sa/4.0/,LMSOC: An Approach for Socially Sensitive Pretraining,Vivek Kulkarni and Shubhanshu Mishra and Aria Haghighi,http://arxiv.org/pdf/2110.10319v1
http://arxiv.org/abs/2207.06882v1,creativecommons.org/licenses/by-sa/4.0/,Multilinguals at SemEval-2022 Task 11: Complex NER in Semantically Ambiguous Settings for Low Resource Languages,Amit Pandey and Swayatta Daw and Narendra Babu Unnam and Vikram Pudi,http://arxiv.org/pdf/2207.06882v1
http://arxiv.org/abs/2109.02903v2,creativecommons.org/licenses/by-sa/4.0/,IndicBART: A Pre-trained Model for Indic Natural Language Generation,Raj Dabre and Himani Shrotriya and Anoop Kunchukuttan and Ratish Puduppully and Mitesh M. Khapra and Pratyush Kumar,http://arxiv.org/pdf/2109.02903v2
http://arxiv.org/abs/2210.00320v1,creativecommons.org/licenses/by-sa/4.0/,MALM: Mixing Augmented Language Modeling for Zero-Shot Machine Translation,Kshitij Gupta,http://arxiv.org/pdf/2210.00320v1
http://arxiv.org/abs/2205.14288v1,creativecommons.org/licenses/by-sa/4.0/,Few-shot Subgoal Planning with Language Models,Lajanugen Logeswaran and Yao Fu and Moontae Lee and Honglak Lee,http://arxiv.org/pdf/2205.14288v1
http://arxiv.org/abs/2211.07524v1,creativecommons.org/licenses/by-sa/4.0/,Towards a Mathematics Formalisation Assistant using Large Language Models,Ayush Agrawal and Siddhartha Gadgil and Navin Goyal and Ashvni Narayanan and Anand Tadipatri,http://arxiv.org/pdf/2211.07524v1
http://arxiv.org/abs/1904.01989v1,creativecommons.org/licenses/by-sa/4.0/,Subword-Level Language Identification for Intra-Word Code-Switching,Manuel Mager and Özlem Çetinoğlu and Katharina Kann,http://arxiv.org/pdf/1904.01989v1
http://arxiv.org/abs/2009.08712v1,creativecommons.org/licenses/by-sa/4.0/,The birth of Romanian BERT,Stefan Daniel Dumitrescu and Andrei-Marius Avram and Sampo Pyysalo,http://arxiv.org/pdf/2009.08712v1
http://arxiv.org/abs/2204.02292v2,creativecommons.org/licenses/by-sa/4.0/,Parameter-Efficient Neural Reranking for Cross-Lingual and Multilingual Retrieval,Robert Litschko and Ivan Vulić and Goran Glavaš,http://arxiv.org/pdf/2204.02292v2
http://arxiv.org/abs/2101.11575v1,creativecommons.org/licenses/by-sa/4.0/,Mining Large-Scale Low-Resource Pronunciation Data From Wikipedia,Tania Chakraborty and Manasa Prasad and Theresa Breiner and Sandy Ritchie and Daan van Esch,http://arxiv.org/pdf/2101.11575v1
http://arxiv.org/abs/2203.06462v2,creativecommons.org/licenses/by-sa/4.0/,Low-Rank Softmax Can Have Unargmaxable Classes in Theory but Rarely in Practice,Andreas Grivas and Nikolay Bogoychev and Adam Lopez,http://arxiv.org/pdf/2203.06462v2
http://arxiv.org/abs/1910.04210v1,creativecommons.org/licenses/by-sa/4.0/,Perturbation Sensitivity Analysis to Detect Unintended Model Biases,Vinodkumar Prabhakaran and Ben Hutchinson and Margaret Mitchell,http://arxiv.org/pdf/1910.04210v1
http://arxiv.org/abs/2201.08471v1,creativecommons.org/licenses/by-sa/4.0/,Transfer Learning Approaches for Building Cross-Language Dense Retrieval Models,Suraj Nair and Eugene Yang and Dawn Lawrie and Kevin Duh and Paul McNamee and Kenton Murray and James Mayfield and Douglas W. Oard,http://arxiv.org/pdf/2201.08471v1
http://arxiv.org/abs/2203.03759v1,creativecommons.org/licenses/by-sa/4.0/,IT5: Large-scale Text-to-text Pretraining for Italian Language Understanding and Generation,Gabriele Sarti and Malvina Nissim,http://arxiv.org/pdf/2203.03759v1
http://arxiv.org/abs/2112.10553v1,creativecommons.org/licenses/by-sa/4.0/,Training dataset and dictionary sizes matter in BERT models: the case of Baltic languages,Matej Ulčar and Marko Robnik-Šikonja,http://arxiv.org/pdf/2112.10553v1
http://arxiv.org/abs/2204.09391v1,creativecommons.org/licenses/by-sa/4.0/,You Are What You Write: Preserving Privacy in the Era of Large Language Models,Richard Plant and Valerio Giuffrida and Dimitra Gkatzia,http://arxiv.org/pdf/2204.09391v1
http://arxiv.org/abs/2212.09895v1,creativecommons.org/licenses/by-sa/4.0/,Improved Long-Form Spoken Language Translation with Large Language Models,Arya D. McCarthy and Hao Zhang and Shankar Kumar and Felix Stahlberg and Axel H. Ng,http://arxiv.org/pdf/2212.09895v1
http://arxiv.org/abs/2004.09456v1,creativecommons.org/licenses/by-sa/4.0/,StereoSet: Measuring stereotypical bias in pretrained language models,Moin Nadeem and Anna Bethke and Siva Reddy,http://arxiv.org/pdf/2004.09456v1
http://arxiv.org/abs/2109.15290v1,creativecommons.org/licenses/by-sa/4.0/,MatSciBERT: A Materials Domain Language Model for Text Mining and Information Extraction,Tanishq Gupta and Mohd Zaki and N. M. Anoop Krishnan and Mausam,http://arxiv.org/pdf/2109.15290v1
http://arxiv.org/abs/2206.01205v1,creativecommons.org/licenses/by-sa/4.0/,Snow Mountain: Dataset of Audio Recordings of The Bible in Low Resource Languages,Kavitha Raju and Anjaly V and Ryan Lish and Joel Mathew,http://arxiv.org/pdf/2206.01205v1
http://arxiv.org/abs/2211.00142v1,creativecommons.org/licenses/by-sa/4.0/,TaTa: A Multilingual Table-to-Text Dataset for African Languages,Sebastian Gehrmann and Sebastian Ruder and Vitaly Nikolaev and Jan A. Botha and Michael Chavinda and Ankur Parikh and Clara Rivera,http://arxiv.org/pdf/2211.00142v1
http://arxiv.org/abs/2107.09931v1,creativecommons.org/licenses/by-sa/4.0/,The Effectiveness of Intermediate-Task Training for Code-Switched Natural Language Understanding,Archiki Prasad and Mohammad Ali Rehan and Shreya Pathak and Preethi Jyothi,http://arxiv.org/pdf/2107.09931v1
http://arxiv.org/abs/2302.07912v1,creativecommons.org/licenses/by-sa/4.0/,Meeting the Needs of Low-Resource Languages: The Value of Automatic Alignments via Pretrained Models,Abteen Ebrahimi and Arya D. McCarthy and Arturo Oncevay and Luis Chiruzzo and John E. Ortega and Gustavo A. Giménez-Lugo and Rolando Coto-Solano and Katharina Kann,http://arxiv.org/pdf/2302.07912v1
http://arxiv.org/abs/2102.12162v1,creativecommons.org/licenses/by-sa/4.0/,From Universal Language Model to Downstream Task: Improving RoBERTa-Based Vietnamese Hate Speech Detection,Quang Huu Pham and Viet Anh Nguyen and Linh Bao Doan and Ngoc N. Tran and Ta Minh Thanh,http://arxiv.org/pdf/2102.12162v1
http://arxiv.org/abs/2211.13613v2,creativecommons.org/licenses/by-sa/4.0/,Ham2Pose: Animating Sign Language Notation into Pose Sequences,Rotem Shalev-Arkushin and Amit Moryossef and Ohad Fried,http://arxiv.org/pdf/2211.13613v2
http://arxiv.org/abs/2212.05058v1,creativecommons.org/licenses/by-sa/4.0/,Structured Like a Language Model: Analysing AI as an Automated Subject,Liam Magee and Vanicka Arora and Luke Munn,http://arxiv.org/pdf/2212.05058v1
http://arxiv.org/abs/2108.01589v1,creativecommons.org/licenses/by-sa/4.0/,ExBERT: An External Knowledge Enhanced BERT for Natural Language Inference,Amit Gajbhiye and Noura Al Moubayed and Steven Bradley,http://arxiv.org/pdf/2108.01589v1
http://arxiv.org/abs/2108.02598v1,creativecommons.org/licenses/by-sa/4.0/,Knowledge Distillation from BERT Transformer to Speech Transformer for Intent Classification,Yidi Jiang and Bidisha Sharma and Maulik Madhavi and Haizhou Li,http://arxiv.org/pdf/2108.02598v1
http://arxiv.org/abs/2301.08130v2,creativecommons.org/licenses/by-sa/4.0/,A Cohesive Distillation Architecture for Neural Language Models,Jan Philip Wahle,http://arxiv.org/pdf/2301.08130v2
http://arxiv.org/abs/2107.10614v1,creativecommons.org/licenses/by-sa/4.0/,Evaluation of contextual embeddings on less-resourced languages,Matej Ulčar and Aleš Žagar and Carlos S. Armendariz and Andraž Repar and Senja Pollak and Matthew Purver and Marko Robnik-Šikonja,http://arxiv.org/pdf/2107.10614v1
http://arxiv.org/abs/2109.10724v1,creativecommons.org/licenses/by-sa/4.0/,Low-Latency Incremental Text-to-Speech Synthesis with Distilled Context Prediction Network,Takaaki Saeki and Shinnosuke Takamichi and Hiroshi Saruwatari,http://arxiv.org/pdf/2109.10724v1
http://arxiv.org/abs/2011.12432v2,creativecommons.org/licenses/by-sa/4.0/,Enhancing deep neural networks with morphological information,Matej Klemen and Luka Krsnik and Marko Robnik-Šikonja,http://arxiv.org/pdf/2011.12432v2
http://arxiv.org/abs/2211.02956v1,creativecommons.org/licenses/by-sa/4.0/,Privacy-Preserving Models for Legal Natural Language Processing,Ying Yin and Ivan Habernal,http://arxiv.org/pdf/2211.02956v1
http://arxiv.org/abs/1606.09403v1,creativecommons.org/licenses/by-sa/4.0/,Learning Crosslingual Word Embeddings without Bilingual Corpora,Long Duong and Hiroshi Kanayama and Tengfei Ma and Steven Bird and Trevor Cohn,http://arxiv.org/pdf/1606.09403v1
http://arxiv.org/abs/2303.12153v1,creativecommons.org/licenses/by-sa/4.0/,Text2Motion: From Natural Language Instructions to Feasible Plans,Kevin Lin and Christopher Agia and Toki Migimatsu and Marco Pavone and Jeannette Bohg,http://arxiv.org/pdf/2303.12153v1
http://arxiv.org/abs/2207.01772v1,creativecommons.org/licenses/by-sa/4.0/,Vision-and-Language Pretraining,Thong Nguyen and Cong-Duy Nguyen and Xiaobao Wu and Anh Tuan Luu,http://arxiv.org/pdf/2207.01772v1
http://arxiv.org/abs/2302.00923v4,creativecommons.org/licenses/by-sa/4.0/,Multimodal Chain-of-Thought Reasoning in Language Models,Zhuosheng Zhang and Aston Zhang and Mu Li and Hai Zhao and George Karypis and Alex Smola,http://arxiv.org/pdf/2302.00923v4
http://arxiv.org/abs/2210.03568v3,creativecommons.org/licenses/by-sa/4.0/,How Large Language Models are Transforming Machine-Paraphrased Plagiarism,Jan Philip Wahle and Terry Ruas and Frederic Kirstein and Bela Gipp,http://arxiv.org/pdf/2210.03568v3
http://arxiv.org/abs/2110.07982v1,creativecommons.org/licenses/by-sa/4.0/,Scribosermo: Fast Speech-to-Text models for German and other Languages,Daniel Bermuth and Alexander Poeppel and Wolfgang Reif,http://arxiv.org/pdf/2110.07982v1
http://arxiv.org/abs/2112.12650v3,creativecommons.org/licenses/by-sa/4.0/,Distilling the Knowledge of Romanian BERTs Using Multiple Teachers,Andrei-Marius Avram and Darius Catrina and Dumitru-Clementin Cercel and Mihai Dascălu and Traian Rebedea and Vasile Păiş and Dan Tufiş,http://arxiv.org/pdf/2112.12650v3
http://arxiv.org/abs/2207.06814v1,creativecommons.org/licenses/by-sa/4.0/,BERTIN: Efficient Pre-Training of a Spanish Language Model using Perplexity Sampling,Javier de la Rosa and Eduardo G. Ponferrada and Paulo Villegas and Pablo Gonzalez de Prado Salas and Manu Romero and Marıa Grandury,http://arxiv.org/pdf/2207.06814v1
http://arxiv.org/abs/2109.05772v1,creativecommons.org/licenses/by-sa/4.0/,Wine is Not v i n. -- On the Compatibility of Tokenizations Across Languages,Antonis Maronikolakis and Philipp Dufter and Hinrich Schütze,http://arxiv.org/pdf/2109.05772v1
http://arxiv.org/abs/2212.10548v1,creativecommons.org/licenses/by-sa/4.0/,T-Projection: High Quality Annotation Projection for Sequence Labeling Tasks,Iker García-Ferrero and Rodrigo Agerri and German Rigau,http://arxiv.org/pdf/2212.10548v1
